Date,tqqq_mock,Open,High,Low,Close,Volume
1981-08-25,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216
1981-08-26,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216
1981-08-27,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216
1981-08-28,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216,1.0255366112143216
1981-08-31,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-01,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-02,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-03,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-04,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-08,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-09,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-10,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-11,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-14,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-15,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-16,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-17,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-18,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-21,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-22,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-23,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-24,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-25,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-28,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-29,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067,0.7890566876139067
1981-09-30,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-01,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-02,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-05,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-06,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-07,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-08,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-09,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-12,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-13,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-14,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-15,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-16,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-19,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-20,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-21,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-22,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-23,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-26,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-27,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-28,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-29,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786,0.7238465684286786
1981-10-30,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-02,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-03,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-04,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-05,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-06,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-09,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-10,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-11,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-12,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-13,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-16,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-17,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-18,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-19,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-20,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-23,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-24,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-25,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-27,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958,1.0547435604218958
1981-11-30,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-01,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-02,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-03,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-04,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-07,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-08,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-09,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-10,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-11,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-14,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-15,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-16,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-17,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-18,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-21,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-22,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-23,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-24,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-28,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-29,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-30,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897,1.126339632088897
1981-12-31,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-04,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-05,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-06,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-07,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-08,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-11,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-12,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-13,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-14,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-15,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-18,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-19,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-20,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-21,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-22,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-25,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-26,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-27,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-28,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604,1.1442608177558604
1982-01-29,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-01,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-02,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-03,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-04,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-05,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-08,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-09,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-10,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-11,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-12,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-16,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-17,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-18,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-19,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-22,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-23,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-24,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-25,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723,1.0658084920667723
1982-02-26,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-01,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-02,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-03,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-04,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-05,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-08,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-09,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-10,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-11,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-12,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-15,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-16,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-17,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-18,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-19,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-22,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-23,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-24,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-25,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-26,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-29,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-30,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684,0.9016418175417684
1982-03-31,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-01,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-02,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-05,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-06,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-07,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-08,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-12,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-13,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-14,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-15,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-16,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-19,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-20,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-21,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-22,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-23,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-26,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-27,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-28,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-29,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122,0.7599420275608122
1982-04-30,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-03,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-04,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-05,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-06,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-07,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-10,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-11,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-12,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-13,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-14,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-17,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-18,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-19,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-20,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-21,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-24,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-25,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-26,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-27,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836,0.9898199861724836
1982-05-28,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-01,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-02,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-03,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-04,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-07,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-08,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-09,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-10,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-11,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-14,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-15,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-16,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-17,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
1982-06-18,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113,0.8464188706400113
